Gender?,location,sscgpa,hscgpa,ictinterest,ictresult,internetbrowse,matholimpyad,onlinecourse,cpro,onlineresource,patience,pcconfig,gamer,selfstudy,ict,knowledgebefore,proskill,mathSSC,mathHSC,patiencerating,selfrating,CGPA
Male,Chittagong,5,4.50 and above,Very Interesting,Good,Online Study and Social Media,More than once,Many,5 to 6,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Agree,Poor,5 to 6,Very Good,Very Good,9 to 10,9 to 10,3.71
Female,Chittagong,5,4.00 and above,Interesting,Very good,Online Study and Social Media,Never,More than once,5 to 6,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Satisfactory,5 to 6,Good,Good,7 to 8,5 to 6,3.15
Male,Chittagong,4.00 and above,4.00 and above,Interesting,Good,Online Study and Social Media,More than once,More than once,7 to 8,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Satisfactory,5 to 6,Good,Good,5 to 6,5 to 6,3.05
Female,Chittagong,5,5,Interesting,Good,Online Study and Social Media,Many,Less than 5,5 to 6,Agree,Agree,Neutral,Agree,Agree,Neutral,Satisfactory,5 to 6,Good,Good,7 to 8,9 to 10,3.6
Male,Chittagong,5,4.50 and above,Interesting,Very good,Online Study and Social Media,Many,Many,5 to 6,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Very Good,7 to 8,Good,Good,9 to 10,9 to 10,3.12
Male,Chittagong,4.50 and above,3.5 and above,Very Interesting,Very good,Online Study and Social Media,Never,Many,3 to 4,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Poor,5 to 6,Satisfactory,Satisfactory,7 to 8,9 to 10,3
Male,Chittagong,Less than 3.50,4.00 and above,Very Interesting,Very good,Online Study and Social Media,More than once,Many,1 to 2,Agree,Agree,Strongly Agree,Neutral,Neutral,Agree,Satisfactory,3 to 4,Very Good,Good,9 to 10,3 to 4,3.1
Female,Dhaka,Less than 3.50,Less than 3.5,Very Difficult,Very good,Social media and Entertainment,Many,Many,9 to 10,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly disagree,Very Good,9 to 10,Very Good,Very Good,9 to 10,9 to 10,2.6
Male,Chittagong,4.50 and above,3.5 and above,Neutral,Less than satisfactory,Social media and Entertainment,Once,More than once,3 to 4,Agree,Neutral,Agree,Neutral,Strongly Agree,Strongly Agree,Less than Satisfactory,1 to 2,Good,Satisfactory,3 to 4,3 to 4,2.6
Female,Dhaka,5,5,Very Interesting,Very good,Online Study and Social Media,Never,Many,9 to 10,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Good,3 to 4,Very Good,Good,5 to 6,9 to 10,3.5
Male,Chittagong,4.50 and above,4.50 and above,Interesting,Good,Social media and Entertainment,Once,Many,5 to 6,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Disagree,Less than Satisfactory,5 to 6,Very Good,Satisfactory,3 to 4,5 to 6,3.2
Female,Chittagong,5,4.50 and above,Interesting,Satisfactory,Online Study and Social Media,Once,Never,9 to 10,Agree,Agree,Agree,Neutral,Neutral,Agree,Poor,3 to 4,Good,Good,7 to 8,7 to 8,3.5
Male,Chittagong,5,5,Interesting,Good,Online Study and Social Media,Never,Never,1 to 2,Disagree,Disagree,Agree,Agree,Agree,Agree,Poor,3 to 4,Very Good,Very Good,5 to 6,5 to 6,3.1
Male,Chittagong,5,3.5 and above,Interesting,Good,Online Study and Social Media,Once,Never,5 to 6,Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Disagree,Satisfactory,5 to 6,Very Good,Very Good,9 to 10,9 to 10,3.2
